device,model,dvfs_mode,dvfs_mode_label,condition_tag,segment,capacity_ips,lambda_frac,target_rps,n_runs,achieved_rps_median,achieved_rps_min,achieved_rps_max,p95_latency_ms_median,p95_latency_ms_max,warm_idle_w_median,serving_w_median,delta_w_median,marginal_wall_energy_j_per_inf_median,marginal_wall_energy_j_per_inf_min,marginal_wall_energy_j_per_inf_max,batch_size
gpu-server,efficientnet-b4,11,1950MHz,dvfs11,server,118.1,0.5,59.05,10,58.535,56.5,60.18,37.84,39.33,145.4,227.15,81.275,1.389397,1.315261,1.452422,1
gpu-server,efficientnet-b4,11,1950MHz,dvfs11,server,118.1,0.75,88.57,10,88.635,86.63,90.1,40.025,42.2,142.1,267.27,125.23,1.399935,1.291872,1.455129,1
gpu-server,efficientnet-b4,11,1950MHz,dvfs11,server,118.1,1.0,118.1,10,118.06,115.87,119.93,97.815,120.53,141.55,282.125,140.685,1.183837,1.170972,1.210408,1
gpu-server,mobilenet-v2-050,0,300MHz,dvfs0,server,230.6,0.25,57.65,10,57.585,55.95,59.15,19.57,19.95,98.0,101.11,3.3,0.056349,0.032707,0.072569,1
gpu-server,mobilenet-v2-050,0,300MHz,dvfs0,server,230.6,0.5,115.3,10,114.685,112.63,116.93,19.965,20.65,99.0,107.065,7.895,0.06911,0.063687,0.081595,1
gpu-server,mobilenet-v2-050,0,300MHz,dvfs0,server,230.6,0.75,172.95,10,172.425,169.93,174.48,23.55,24.39,99.425,115.235,15.645,0.090337,0.08656,0.100928,1
gpu-server,mobilenet-v2-050,0,300MHz,dvfs0,server,230.6,1.0,230.6,10,231.52,227.55,233.18,62.33,82.11,99.0,122.335,23.215,0.10106,0.094701,0.10468,1
gpu-server,mobilenet-v2-050,1,420MHz,dvfs1,server,427.5,0.25,106.88,10,107.4,105.33,109.87,20.57,21.16,98.3,103.875,5.705,0.053098,0.046248,0.061304,1
gpu-server,mobilenet-v2-050,1,420MHz,dvfs1,server,427.5,0.5,213.75,10,214.23,212.07,218.63,20.545,21.51,98.8,112.345,13.555,0.062641,0.060109,0.067653,1
gpu-server,mobilenet-v2-050,1,420MHz,dvfs1,server,427.5,0.75,320.62,10,320.305,314.88,322.48,20.0,20.83,99.125,121.09,21.91,0.068326,0.067094,0.071188,1
gpu-server,mobilenet-v2-050,1,420MHz,dvfs1,server,427.5,1.0,427.5,10,427.07,424.83,431.78,52.335,98.57,99.0,128.665,29.895,0.069864,0.067744,0.072052,1
gpu-server,mobilenet-v2-050,2,600MHz,dvfs2,server,491.6,0.25,122.9,10,122.61,119.92,125.67,19.91,20.77,99.575,105.15,5.515,0.044952,0.039091,0.432121,1
gpu-server,mobilenet-v2-050,2,600MHz,dvfs2,server,491.6,0.5,245.8,10,244.845,244.17,248.82,21.155,21.6,99.4,113.06,13.805,0.056309,0.050061,0.060387,1
gpu-server,mobilenet-v2-050,2,600MHz,dvfs2,server,491.6,0.75,368.7,10,369.225,367.2,371.4,19.835,21.54,99.05,121.67,22.61,0.061553,0.058555,0.063124,1
gpu-server,mobilenet-v2-050,2,600MHz,dvfs2,server,491.6,1.0,491.6,10,489.89,486.8,495.92,31.335,39.04,99.325,128.98,29.84,0.060543,0.058191,0.061733,1
gpu-server,mobilenet-v2-050,3,810MHz,dvfs3,server,540.0,0.25,135.0,10,134.73,133.48,138.97,19.58,20.47,99.2,106.15,7.055,0.051343,0.039754,0.377303,1
gpu-server,mobilenet-v2-050,3,810MHz,dvfs3,server,540.0,0.5,270.0,10,270.425,266.17,273.28,21.995,23.38,99.425,114.29,14.79,0.054362,0.050488,0.059415,1
gpu-server,mobilenet-v2-050,3,810MHz,dvfs3,server,540.0,0.75,405.0,10,405.29,401.5,410.18,22.195,23.69,99.35,122.395,23.13,0.056753,0.056068,0.059404,1
gpu-server,mobilenet-v2-050,3,810MHz,dvfs3,server,540.0,1.0,540.0,10,540.41,537.22,543.65,29.625,46.01,99.925,130.065,30.065,0.055869,0.054424,0.056685,1
gpu-server,mobilenet-v2-050,4,1005MHz,dvfs4,server,568.6,0.25,142.15,10,141.8,139.47,145.55,19.76,20.46,99.75,107.29,7.345,0.052616,0.039665,0.056921,1
gpu-server,mobilenet-v2-050,4,1005MHz,dvfs4,server,568.6,0.5,284.3,10,284.29,280.23,287.23,21.885,22.87,100.15,116.13,16.015,0.056697,0.053636,0.059701,1
gpu-server,mobilenet-v2-050,4,1005MHz,dvfs4,server,568.6,0.75,426.45,10,425.94,422.43,433.13,21.48,22.27,100.175,125.105,24.835,0.058252,0.054936,0.059679,1
gpu-server,mobilenet-v2-050,4,1005MHz,dvfs4,server,568.6,1.0,568.6,10,569.765,562.28,573.05,36.435,106.6,100.3,133.265,32.96,0.058064,0.056231,0.059685,1
gpu-server,mobilenet-v2-050,5,1200MHz,dvfs5,server,607.5,0.25,151.88,10,152.415,148.08,154.25,20.44,21.57,100.9,108.405,7.46,0.049523,0.043908,0.053874,1
gpu-server,mobilenet-v2-050,5,1200MHz,dvfs5,server,607.5,0.5,303.75,10,302.3,300.73,306.07,21.995,24.13,100.5,117.57,17.1,0.056448,0.054684,0.060552,1
gpu-server,mobilenet-v2-050,5,1200MHz,dvfs5,server,607.5,0.75,455.62,10,454.56,450.32,460.55,21.81,23.92,100.1,126.325,26.365,0.058054,0.056481,0.059136,1
gpu-server,mobilenet-v2-050,5,1200MHz,dvfs5,server,607.5,1.0,607.5,10,607.51,603.9,613.68,93.085,1104.16,100.5,134.545,34.08,0.056074,0.055224,0.057448,1
gpu-server,mobilenet-v2-050,6,1410MHz,dvfs6,server,562.5,0.25,140.62,10,139.55,138.12,141.93,19.825,20.35,102.6,110.19,7.625,0.055058,0.05023,0.059398,1
