device,model,dvfs_mode,dvfs_mode_label,condition_tag,segment,lambda_frac,capacity_ips,capacity_selection,capacity_power_status,capacity_delta_w,target_rps,achieved_rps_median,achieved_target_ratio,n_runs,p95_latency_ms_median,p95_latency_ms_max,warm_idle_w_median,serving_w_median,delta_w_median,marginal_wall_energy_j_per_inf_median,marginal_wall_energy_j_per_inf_min,marginal_wall_energy_j_per_inf_max,flag_slo_median_violation,flag_slo_any_run_violation,flag_low_delta_median,flag_nonpositive_delta_run,flag_nonpositive_energy_run,n_runs_p95_gt_lmax,n_runs_delta_le_zero,n_runs_delta_lt_low,n_runs_energy_le_zero,source_capacity_json
xavier,mobilenet-v2-050,6,MODE_20W_2CORE,dvfs6,jetson,0.5,273.1,confirmed_after_backoff,ok,6.42,136.55,137.04,1.003588,10,15.9,17.05,10.1,13.51,3.425,0.02488,0.024303,0.025507,0,0,0,0,0,0,0,0,0,20260508T071244+0900_834_xavier_mob050_dvfs6_trt_v2.json
xavier,mobilenet-v2-050,6,MODE_20W_2CORE,dvfs6,jetson,0.75,273.1,confirmed_after_backoff,ok,6.42,204.83,204.145,0.996656,10,24.14,26.91,10.1,15.1,4.97,0.024456,0.023527,0.024636,0,0,0,0,0,0,0,0,0,20260508T071244+0900_834_xavier_mob050_dvfs6_trt_v2.json
xavier,mobilenet-v2-050,6,MODE_20W_2CORE,dvfs6,jetson,1.0,273.1,confirmed_after_backoff,ok,6.42,273.1,273.91,1.002966,10,64.2,82.35,10.15,16.675,6.5,0.023815,0.023306,0.024062,0,0,0,0,0,0,0,0,0,20260508T071244+0900_834_xavier_mob050_dvfs6_trt_v2.json
xavier,mobilenet-v2-050,7,MODE_20W_4CORE,dvfs7,jetson,0.25,287.5,confirmed,ok,6.61,71.88,71.225,0.990888,10,11.89,12.35,10.325,12.105,1.795,0.024752,0.023151,0.026754,0,0,0,0,0,0,0,0,0,20260508T072822+0900_938_xavier_mob050_dvfs7_trt_v2.json
xavier,mobilenet-v2-050,7,MODE_20W_4CORE,dvfs7,jetson,0.5,287.5,confirmed,ok,6.61,143.75,143.82,1.000487,10,15.525,15.8,10.2,13.74,3.52,0.024386,0.023696,0.024796,0,0,0,0,0,0,0,0,0,20260508T072822+0900_938_xavier_mob050_dvfs7_trt_v2.json
xavier,mobilenet-v2-050,7,MODE_20W_4CORE,dvfs7,jetson,0.75,287.5,confirmed,ok,6.61,215.62,215.98,1.00167,10,24.055,25.5,10.225,15.335,5.1,0.023529,0.022828,0.024109,0,0,0,0,0,0,0,0,0,20260508T072822+0900_938_xavier_mob050_dvfs7_trt_v2.json
xavier,mobilenet-v2-050,7,MODE_20W_4CORE,dvfs7,jetson,1.0,287.5,confirmed,ok,6.61,287.5,288.2,1.002435,10,73.285,91.38,10.3,16.94,6.64,0.023063,0.022324,0.023445,0,0,0,0,0,0,0,0,0,20260508T072822+0900_938_xavier_mob050_dvfs7_trt_v2.json
xavier,mobilenet-v2-050,8,MODE_20W_6CORE,dvfs8,jetson,0.25,300.0,confirmed,ok,6.84,75.0,75.375,1.005,10,11.685,12.0,10.475,12.285,1.825,0.024391,0.019887,0.026278,0,0,0,0,0,0,0,0,0,20260508T074050+0900_202_xavier_mob050_dvfs8_trt_v2.json
xavier,mobilenet-v2-050,8,MODE_20W_6CORE,dvfs8,jetson,0.5,300.0,confirmed,ok,6.84,150.0,149.845,0.998967,10,15.01,15.61,10.3,13.985,3.655,0.024442,0.023331,0.024903,0,0,0,0,0,0,0,0,0,20260508T074050+0900_202_xavier_mob050_dvfs8_trt_v2.json
xavier,mobilenet-v2-050,8,MODE_20W_6CORE,dvfs8,jetson,0.75,300.0,confirmed,ok,6.84,225.0,226.525,1.006778,10,23.04,24.79,10.45,15.675,5.235,0.023037,0.022746,0.023754,0,0,0,0,0,0,0,0,0,20260508T074050+0900_202_xavier_mob050_dvfs8_trt_v2.json
xavier,mobilenet-v2-050,8,MODE_20W_6CORE,dvfs8,jetson,1.0,300.0,confirmed,ok,6.84,300.0,299.46,0.9982,10,93.23,119.13,10.425,17.35,6.905,0.023079,0.022728,0.02352,0,1,0,0,0,4,0,0,0,20260508T074050+0900_202_xavier_mob050_dvfs8_trt_v2.json
xavier,mobilenet-v2-100,0,MODE_15W_2CORE,dvfs0,jetson,0.25,211.2,confirmed,ok,8.44,52.8,52.785,0.999716,10,13.875,14.72,9.65,11.84,2.185,0.042072,0.037086,0.042481,0,0,0,0,0,0,0,0,0,20260513T133133+0900_846_xavier_mob100_dvfs0_trt_v2.json
xavier,mobilenet-v2-100,0,MODE_15W_2CORE,dvfs0,jetson,0.5,211.2,confirmed,ok,8.44,105.6,105.175,0.995975,10,18.63,19.42,9.7,13.995,4.315,0.040932,0.040466,0.042415,0,0,0,0,0,0,0,0,0,20260513T133133+0900_846_xavier_mob100_dvfs0_trt_v2.json
xavier,mobilenet-v2-100,0,MODE_15W_2CORE,dvfs0,jetson,0.75,211.2,confirmed,ok,8.44,158.4,157.83,0.996402,10,30.31,32.21,9.6,16.155,6.535,0.041263,0.040627,0.041738,0,0,0,0,0,0,0,0,0,20260513T133133+0900_846_xavier_mob100_dvfs0_trt_v2.json
xavier,mobilenet-v2-100,0,MODE_15W_2CORE,dvfs0,jetson,1.0,211.2,confirmed,ok,8.44,211.2,211.3,1.000473,10,81.475,86.9,9.7,18.295,8.545,0.040723,0.040034,0.041332,0,0,0,0,0,0,0,0,0,20260513T133133+0900_846_xavier_mob100_dvfs0_trt_v2.json
xavier,mobilenet-v2-100,1,MODE_15W_4CORE,dvfs1,jetson,0.25,216.1,confirmed_after_backoff,ok,8.6,54.02,53.955,0.998797,10,13.89,14.14,9.825,12.04,2.185,0.040535,0.039578,0.042298,0,0,0,0,0,0,0,0,0,20260513T134400+0900_181_xavier_mob100_dvfs1_trt_v2.json
xavier,mobilenet-v2-100,1,MODE_15W_4CORE,dvfs1,jetson,0.5,216.1,confirmed_after_backoff,ok,8.6,108.05,108.55,1.004627,10,17.74,18.3,9.8,14.13,4.33,0.039955,0.038957,0.041217,0,0,0,0,0,0,0,0,0,20260513T134400+0900_181_xavier_mob100_dvfs1_trt_v2.json
xavier,mobilenet-v2-100,1,MODE_15W_4CORE,dvfs1,jetson,0.75,216.1,confirmed_after_backoff,ok,8.6,162.07,162.025,0.999722,10,25.82,27.68,9.8,16.195,6.41,0.039614,0.038824,0.040596,0,0,0,0,0,0,0,0,0,20260513T134400+0900_181_xavier_mob100_dvfs1_trt_v2.json
xavier,mobilenet-v2-100,1,MODE_15W_4CORE,dvfs1,jetson,1.0,216.1,confirmed_after_backoff,ok,8.6,216.1,216.77,1.0031,10,71.375,82.77,9.8,18.36,8.56,0.039538,0.038861,0.039793,0,0,0,0,0,0,0,0,0,20260513T134400+0900_181_xavier_mob100_dvfs1_trt_v2.json
xavier,mobilenet-v2-100,2,MODE_15W_6CORE,dvfs2,jetson,0.25,219.4,confirmed,ok,8.62,54.85,55.43,1.010574,10,13.66,13.99,9.9,12.165,2.27,0.041128,0.036784,0.043052,0,0,0,0,0,0,0,0,0,20260513T135939+0900_623_xavier_mob100_dvfs2_trt_v2.json
xavier,mobilenet-v2-100,2,MODE_15W_6CORE,dvfs2,jetson,0.5,219.4,confirmed,ok,8.62,109.7,110.815,1.010164,10,17.13,18.08,9.8,14.315,4.475,0.040469,0.038651,0.04145,0,0,0,0,0,0,0,0,0,20260513T135939+0900_623_xavier_mob100_dvfs2_trt_v2.json
xavier,mobilenet-v2-100,2,MODE_15W_6CORE,dvfs2,jetson,0.75,219.4,confirmed,ok,8.62,164.55,164.6,1.000304,10,25.015,27.18,9.825,16.41,6.555,0.0399,0.038883,0.040251,0,0,0,0,0,0,0,0,0,20260513T135939+0900_623_xavier_mob100_dvfs2_trt_v2.json
xavier,mobilenet-v2-100,2,MODE_15W_6CORE,dvfs2,jetson,1.0,219.4,confirmed,ok,8.62,219.4,219.83,1.00196,10,73.315,108.56,9.9,18.545,8.62,0.039235,0.038677,0.040308,0,1,0,0,0,1,0,0,0,20260513T135939+0900_623_xavier_mob100_dvfs2_trt_v2.json
xavier,mobilenet-v2-100,3,MODE_10W_2CORE,dvfs3,jetson,0.25,170.6,confirmed,ok,5.34,42.65,42.785,1.003165,10,16.125,16.68,9.4,10.86,1.455,0.034521,0.028848,0.035927,0,0,0,0,0,0,0,0,0,20260513T141150+0900_477_xavier_mob100_dvfs3_trt_v2.json
xavier,mobilenet-v2-100,3,MODE_10W_2CORE,dvfs3,jetson,0.5,170.6,confirmed,ok,5.34,85.3,85.605,1.003576,10,21.12,21.95,9.4,12.15,2.775,0.032208,0.031666,0.034119,0,0,0,0,0,0,0,0,0,20260513T141150+0900_477_xavier_mob100_dvfs3_trt_v2.json
xavier,mobilenet-v2-100,3,MODE_10W_2CORE,dvfs3,jetson,0.75,170.6,confirmed,ok,5.34,127.95,127.715,0.998163,10,31.43,33.86,9.35,13.465,4.075,0.032086,0.030857,0.032761,0,0,0,0,0,0,0,0,0,20260513T141150+0900_477_xavier_mob100_dvfs3_trt_v2.json
xavier,mobilenet-v2-100,3,MODE_10W_2CORE,dvfs3,jetson,1.0,170.6,confirmed,ok,5.34,170.6,169.925,0.996043,10,75.875,97.8,9.4,14.7,5.295,0.031325,0.030908,0.031979,0,0,0,0,0,0,0,0,0,20260513T141150+0900_477_xavier_mob100_dvfs3_trt_v2.json
xavier,mobilenet-v2-100,4,MODE_10W_4CORE,dvfs4,jetson,0.25,169.8,confirmed_after_backoff,ok,5.27,42.45,42.785,1.007892,10,15.57,15.88,9.5,10.855,1.345,0.031675,0.028192,0.034584,0,0,0,0,0,0,0,0,0,20260513T142429+0900_230_xavier_mob100_dvfs4_trt_v2.json
xavier,mobilenet-v2-100,4,MODE_10W_4CORE,dvfs4,jetson,0.5,169.8,confirmed_after_backoff,ok,5.27,84.9,85.735,1.009835,10,19.625,20.08,9.4,12.16,2.75,0.032019,0.030023,0.033088,0,0,0,0,0,0,0,0,0,20260513T142429+0900_230_xavier_mob100_dvfs4_trt_v2.json
xavier,mobilenet-v2-100,4,MODE_10W_4CORE,dvfs4,jetson,0.75,169.8,confirmed_after_backoff,ok,5.27,127.35,126.95,0.996859,10,28.29,29.58,9.45,13.405,3.95,0.03093,0.029965,0.031698,0,0,0,0,0,0,0,0,0,20260513T142429+0900_230_xavier_mob100_dvfs4_trt_v2.json
xavier,mobilenet-v2-100,4,MODE_10W_4CORE,dvfs4,jetson,1.0,169.8,confirmed_after_backoff,ok,5.27,169.8,170.235,1.002562,10,55.475,81.19,9.425,14.69,5.23,0.030722,0.029671,0.031339,0,0,0,0,0,0,0,0,0,20260513T142429+0900_230_xavier_mob100_dvfs4_trt_v2.json
xavier,mobilenet-v2-100,5,MODE_10W_DESKTOP,dvfs5,jetson,0.25,145.9,confirmed,ok,5.7,36.48,36.65,1.00466,10,17.28,17.76,9.475,11.06,1.6,0.042886,0.037693,0.046091,0,0,0,0,0,0,0,0,0,20260513T144019+0900_721_xavier_mob100_dvfs5_trt_v2.json
xavier,mobilenet-v2-100,5,MODE_10W_DESKTOP,dvfs5,jetson,0.5,145.9,confirmed,ok,5.7,72.95,72.99,1.000548,10,22.8,23.53,9.5,12.42,2.925,0.040369,0.038335,0.041627,0,0,0,0,0,0,0,0,0,20260513T144019+0900_721_xavier_mob100_dvfs5_trt_v2.json
xavier,mobilenet-v2-100,5,MODE_10W_DESKTOP,dvfs5,jetson,0.75,145.9,confirmed,ok,5.7,109.43,109.215,0.998035,10,33.65,39.19,9.525,13.785,4.225,0.039004,0.03808,0.040092,0,0,0,0,0,0,0,0,0,20260513T144019+0900_721_xavier_mob100_dvfs5_trt_v2.json
xavier,mobilenet-v2-100,5,MODE_10W_DESKTOP,dvfs5,jetson,1.0,145.9,confirmed,ok,5.7,145.9,146.675,1.005312,10,104.94,146.27,9.525,15.215,5.655,0.038578,0.037239,0.03921,1,1,0,0,0,8,0,0,0,20260513T144019+0900_721_xavier_mob100_dvfs5_trt_v2.json
xavier,mobilenet-v2-100,6,MODE_20W_2CORE,dvfs6,jetson,0.25,219.4,confirmed,ok,8.93,54.85,55.025,1.003191,10,13.18,13.84,10.1,12.42,2.33,0.042161,0.032252,0.044298,0,0,0,0,0,0,0,0,0,20260513T145230+0900_144_xavier_mob100_dvfs6_trt_v2.json
xavier,mobilenet-v2-100,6,MODE_20W_2CORE,dvfs6,jetson,0.5,219.4,confirmed,ok,8.93,109.7,110.15,1.004102,10,17.52,17.83,10.05,14.665,4.625,0.04175,0.040547,0.042626,0,0,0,0,0,0,0,0,0,20260513T145230+0900_144_xavier_mob100_dvfs6_trt_v2.json
xavier,mobilenet-v2-100,6,MODE_20W_2CORE,dvfs6,jetson,0.75,219.4,confirmed,ok,8.93,164.55,163.73,0.995017,10,26.58,28.41,10.175,16.76,6.63,0.040302,0.039078,0.040881,0,0,0,0,0,0,0,0,0,20260513T145230+0900_144_xavier_mob100_dvfs6_trt_v2.json
